,Athlete,Age,Year,Closing Ceremony Date,Gold Medals,Silver Medals,Bronze Medals,Total Medals
912,Eldar K'urt'anidze,28,2000,10/01/2000,0,0,1,1
913,Kang Yong-Gyun,26,2000,10/01/2000,0,0,1,1
914,Amiran Kardanov,24,2000,10/01/2000,0,0,1,1
915,Murat Kardanov,29,2000,10/01/2000,1,0,0,1
916,Aleksandr Karelin,33,2000,10/01/2000,0,1,0,1
917,Kim In-Seop,27,2000,10/01/2000,0,1,0,1
918,Matt Lindland,30,2000,10/01/2000,0,1,0,1
919,Mikael Ljungberg,30,2000,10/01/2000,1,0,0,1
920,Garrett Lowney,20,2000,10/01/2000,0,0,1,1
921,Juan Luis Marén,29,2000,10/01/2000,0,1,0,1
922,Lincoln McIlravy,26,2000,10/01/2000,0,0,1,1
923,Mun Ui-Je,25,2000,10/01/2000,0,1,0,1
924,Sagid Murtazaliyev,26,2000,10/01/2000,1,0,0,1
925,David Musulbes,28,2000,10/01/2000,1,0,0,1
926,Katsuhiko Nagata,26,2000,10/01/2000,0,1,0,1
927,Armen Nazaryan,26,2000,10/01/2000,1,0,0,1
928,Lázaro Rivas,25,2000,10/01/2000,0,1,0,1
929,Alexis Rodríguez,22,2000,10/01/2000,0,0,1,1
930,Yoel Romero,23,2000,10/01/2000,0,1,0,1
931,David Saldadze,22,2000,10/01/2000,0,1,0,1
932,Varteres Samurgashev,21,2000,10/01/2000,1,0,0,1
933,Adam Saytiyev,22,2000,10/01/2000,1,0,0,1
934,Sheng Zetian,27,2000,10/01/2000,0,0,1,1
935,Sim Gwon-Ho,27,2000,10/01/2000,1,0,0,1
936,Brandon Slay,24,2000,10/01/2000,1,0,0,1
937,Artur Taymazov,21,2000,10/01/2000,0,1,0,1
938,Murad Umakhanov,23,2000,10/01/2000,1,0,0,1
939,Mukhran Vakht'angadze,27,2000,10/01/2000,0,0,1,1
940,Hamza Yerlikaya,24,2000,10/01/2000,1,0,0,1
941,Marko Yli-Hannuksela,26,2000,10/01/2000,0,0,1,1
942,Ruslan Albegov,24,2012,08/12/2012,0,0,1,1
943,Sajjad Anoushiravani,28,2012,08/12/2012,0,1,0,1
944,Apti Aukhadov,19,2012,08/12/2012,0,1,0,1
945,Bartlomiej Bonk,27,2012,08/12/2012,0,0,1,1
946,Iván Cambar,28,2012,08/12/2012,0,0,1,1
947,Zulfiya Chinshanlo,19,2012,08/12/2012,1,0,0,1
